ID,AreaCodeID,CountryID,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type,Comment
50163,11044,11044,1413,250163,,,,,,,,,Cyrillic,"ул. Франциска Скорины 43А, кв. 41"
50163,11044,11044,1413,250163,,,,,,Minsk,,,,
50163,11044,11044,1413,250163,,,,,,,,,Cyrillic,Минск
52378,11044,11044,1413,252378,,,,,,Minsk,,,,
51823,11044,11044,1413,251823,,,,,,Minsk,,,,
50170,11044,11044,1413,250170,,,"Chichurina St, 4-120",,,,,,,
50170,11044,11044,1413,250170,,,,,,,,,Cyrillic,"ул. Чичурина, 4-120"
50170,11044,11044,1413,250170,,,,,,Minsk,,,,
50170,11044,11044,1413,250170,,,,,,,,,Cyrillic,Минск
50184,11044,11044,1413,250184,,,117,,,,,,,
50184,11044,11044,1413,250184,,,,bld. 3,,,,,,
50184,11044,11044,1413,250184,,,,,Nezavisimosti Ave.,,,,,
50184,11044,11044,1413,250184,,,,,,Minsk,,,,
50184,11044,11044,1413,250184,,,,,,,,220114,,
50185,11044,11044,1413,250185,,,Nezavisimosti ave. 115,,,,,,,
50185,11044,11044,1413,250185,,,,,,Minsk,,,,
50185,11044,11044,1413,250185,,,,,,,,220114,,
50186,11044,11044,1413,250186,,,6 Volgogradskaya St.,,,,,,,
50186,11044,11044,1413,250186,,,,,,Minsk,,,,
50186,11044,11044,1413,250186,,,,,,,,220012,,
50728,11181,11181,1413,250728,,,Karadordeva 6,,,,,,,
50728,11181,11181,1413,250728,,,,,,Cuprija,,,,
50728,11181,11181,1413,250728,,,,,,,,35230,,
50224,11143,11143,1413,250224,,,Avenida Barreda #2318,,,,,,,
50224,11143,11143,1413,250224,,,,Res. Quintas del Rey,,,,,,
50224,11143,11143,1413,250224,,,,,,Mexicali,,,,
50224,11143,11143,1413,250224,,,,,,,Baja California,,,
57674,11143,11143,1413,257674,,,"Avenida Dinamarca S/N, Col. Orizaba",,,,,,,
57674,11143,11143,1413,257674,,,,,,Mexicali,,,,
57674,11143,11143,1413,257674,,,,,,,Baja California,,,
51997,11143,11143,1413,251997,,,"Avenida Dinamarca S/N, Col. Orizaba",,,,,,,
51997,11143,11143,1413,251997,,,,,,Mexicali,,,,
51997,11143,11143,1413,251997,,,,,,,Baja California,,,
57675,11143,11143,1413,257675,,,Priv. de Ruben Mora 27,,,,,,,
57675,11143,11143,1413,257675,,,,Col. Los Naranjos 39480,,,,,,
57675,11143,11143,1413,257675,,,,,,Acapulco de Juarez,,,,
57675,11143,11143,1413,257675,,,,,,,Guerrero,,,
50791,11155,11155,1413,250791,,,,,,Matagalpa,,,,
50295,11126,11126,1413,250295,,,Sea Road Summerland,,,,,,,
50295,11126,11126,1413,250295,,,,Jnah,,,,,,
50295,11126,11126,1413,250295,,,,,,Beirut,,,,
50467,11126,11126,1413,250467,,,,,,Nabi Aylah,,,,
50467,11126,11126,1413,250467,,,,,,,"Zahleh, Bekaa",,,
50298,11126,11126,1413,250298,,,France Street Pavilion Building,,,,,,,
50298,11126,11126,1413,250298,,,,Villa Jihad el Arab,,,,,,
50298,11126,11126,1413,250298,,,,,Downtown Mina el Hosn,,,,,
50298,11126,11126,1413,250298,,,,,,Beirut,,,,
50304,11044,11044,1413,250304,,,"ul. M. Bogdanovicha, d. 124",,,,,,,
50304,11044,11044,1413,250304,,,,kv. 68,,,,,,
50304,11044,11044,1413,250304,,,,,,Minsk,,,,
50326,11085,11085,1413,250326,,,,,,Asmara,,,,
51175,11056,11056,1413,251175,,,"Thukhuma Road, Datkhina Thiri Tsp",,,,,,,
51175,11056,11056,1413,251175,,,,,,Naypyitaw Division,,,,
51173,11056,11056,1413,251173,,,Ministry of Defense,,,,,,,
51173,11056,11056,1413,251173,,,,Shwedagon Pagoda Road,,,,,,
51173,11056,11056,1413,251173,,,,,,Rangoon,,,,
50368,11109,11109,1413,250368,,,"1st Street, 6th Side Street, No. 81",,,,,,,
50368,11109,11109,1413,250368,,,,Jey Industrial Park,,,,,,
50368,11109,11109,1413,250368,,,,,,,Isfahan,,,
50368,11109,11109,1413,250368,,,,,,,,8376100000,,
50372,11109,11109,1413,250372,,,"No. 1106, 11 Hemmat Corner, Hemmat Square, Hemmat Boulevard",,,,,,,
50372,11109,11109,1413,250372,,,,Shokuhieh Industrial Town,,,,,,
50372,11109,11109,1413,250372,,,,,,Qom,,,,
50372,11109,11109,1413,250372,,,,,,,Qom Province,,,
50372,11109,11109,1413,250372,,,,,,,,3718116354,,
50792,11155,11155,1413,250792,,,,,,Jinotega,,,,
50793,11155,11155,1413,250793,,,,,,Esteli,,,,
50393,11155,11155,1413,250393,,,Residencial Monte Cielo,,,,,,,
50393,11155,11155,1413,250393,,,,Casa #C 152,,,,,,
50393,11155,11155,1413,250393,,,,,,Managua,,,,
50396,11155,11155,1413,250396,,,Residencial El Dorado #125,,,,,,,
50396,11155,11155,1413,250396,,,,,,Managua,,,,
50399,11155,11155,1413,250399,,,Residencial Monte Cielo,,,,,,,
50399,11155,11155,1413,250399,,,,Casa B 102,,,,,,
50399,11155,11155,1413,250399,,,,,,Nindiri,,,,
50466,11109,11109,1413,250466,,,,,,Tehran,,,,
50484,11128,11128,1413,250484,,,Nimba County,,,,,,,
50489,11065,11065,1413,250489,,,"Flat B, 27th Floor, Ko On Mansion, Taikoo Shing",,,,,,,
50489,11065,11065,1413,250489,,,,,,Hong Kong,,,,
50492,11065,11065,1413,250492,,,"18-19/F, Zhongshan Building A, No. 154 Hudong Road",,,,,,,
50492,11065,11065,1413,250492,,,,,,Fuzhou,,,,
50492,11065,11065,1413,250492,,,,,,,,350001,,
56617,11278,11278,1413,256617,,,,,,,Tortola,,,
50495,11065,11065,1413,250495,,,"Suites 5201-03, 52/F, The Center, Central",,,,,,,
50495,11065,11065,1413,250495,,,,,,Hong Kong,,,,
50497,11065,11065,1413,250497,,,"4th Floor, No. 137, Lianhua Village, Hongshan Neighborhood Committee, Tancheng Town, Pingtan County",,,,,,,
50497,11065,11065,1413,250497,,,,,,Fuzhou,,,,
50497,11065,11065,1413,250497,,,,,,,Fujian,,,
50499,11065,11065,1413,250499,,,"Room G433, 4th Floor, Science and Technology Development Center Building, No. 83 Junzhu Road, Mawei District",,,,,,,
50499,11065,11065,1413,250499,,,,,,Fuzhou,,,,
