ID,FixedRef,AreaCodeID,Country,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type
12990,6718,11066,Colombia,,212990,,,c/o RAMIREZ ABADIA Y CIA. S.C.S.,,,Cali,,,Latin
4655,6719,11066,Colombia,,204655,,,Carrera 4A No. 16-04 apt. 303,,,Cartago,,,Latin
4657,6719,11066,Colombia,,204657,,,Km. 5 Via Aeropuerto,,,Cartago,,,Latin
4658,6719,11066,Colombia,,204658,,,Carrera 1 No. 13-08,,,Cartago,,,Latin
4656,6720,11066,Colombia,,204656,,,Carrera 1 No. 13-08,,,Cartago,,,Latin
4659,6720,11066,Colombia,,204659,,,Hacienda Coque,,,Cartago,,,Latin
4660,6720,11066,Colombia,,204660,,,Km. 5 Via Aeropuerto,,,Cartago,,,Latin
4661,6721,11066,Colombia,,204661,,,Carrera 4A No. 16-04 apt. 303,,,Cartago,,,Latin
4662,6722,11066,Colombia,,204662,,,Carrera 4A No. 16-04,,,Cartago,,,Latin
5577,6722,11066,Colombia,,205577,,,Carrera 42 No. 5B-81,,,Cali,,,Latin
4663,6723,11066,Colombia,,204663,,,Carrera 4A No. 16-04 apt. 303,,,Cartago,,,Latin
4664,6723,11066,Colombia,,204664,,,"Km. 5 Via Aeropuerto, Hacienda Coque",,,Cartago,,,Latin
4666,6724,11066,Colombia,,204666,,,Hacienda Coque,,,Cartago,,,Latin
4667,6724,11066,Colombia,,204667,,,Carrera 4 No. 16-04 apt. 303,,,Cartago,,,Latin
4668,6724,11066,Colombia,,204668,,,c/o AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,,,Cartago,,,Latin
4669,6724,11066,Colombia,,204669,,,c/o DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,,,Cartago,,,Latin
5578,6724,11066,Colombia,,205578,,,Avenida 4 Oeste No. 5-97 Apt. 1001,,,Cali,,,Latin
5579,6724,11066,Colombia,,205579,,,c/o COMPANIA AGROINVERSORA HENAGRO LTDA.,,,Cartago,,,Latin
4670,6725,11291,,,204670,,,,,,,,,Latin
4671,6726,11066,Colombia,,204671,,,Calle 21 Norte No. 3N-64,,,Cali,,,Latin
4832,6823,11066,Colombia,,204832,,,Avenida 4N No. 10N-100,,,Cali,,,Latin
4833,6823,11066,Colombia,,204833,,,c/o INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A.,,,Buenaventura,,,Latin
4834,6823,11066,Colombia,,204834,,,c/o TAURA S.A.,,,Cali,,,Latin
4835,6823,11066,Colombia,,204835,,,c/o GALAPAGOS S.A.,,,Cali,,,Latin
4836,6824,11066,Colombia,,204836,,,Km. 5 El Pinal,,,Buenaventura,,,Latin
4837,6824,11066,Colombia,,204837,,,Av. Simon Bolivar Km. 5 El Pinal,,,Buenaventura,,,Latin
4841,6826,11066,Colombia,,204841,,,Calle 24N No. 6AN-15,,,Cali,,,Latin
4842,6826,11066,Colombia,,204842,,,Carrera 115 No. 16B-121,,,Cali,,,Latin
4849,6831,11066,Colombia,,204849,,,Calle 5 No. 5A-49,,,Buenaventura,,,Latin
4850,6831,11066,Colombia,,204850,,,c/o INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A.,,,Buenaventura,,,Latin
